Provinsi,Komoditas,Tahun,Luas Panen,Produksi
DI YOGYAKARTA,Jagung,2014,67657.0,312236.0
DI YOGYAKARTA,Jagung,2015,65485.0,299084.0
DI YOGYAKARTA,Jagung,2020,31380.87,169430.71
DI YOGYAKARTA,Jagung,2021,38391.14,197154.61
DI YOGYAKARTA,Jagung,2022,42974.56,218046.4
DI YOGYAKARTA,Jagung,2023,43015.18,215817.44
DKI JAKARTA,Jagung,1993,40.0,52.0
DKI JAKARTA,Jagung,1994,15.0,20.0
DKI JAKARTA,Jagung,1995,13.0,17.0
DKI JAKARTA,Jagung,1996,14.0,27.0
DKI JAKARTA,Jagung,1997,11.0,20.0
DKI JAKARTA,Jagung,1998,45.0,78.0
DKI JAKARTA,Jagung,1999,34.0,67.0
DKI JAKARTA,Jagung,2000,44.0,78.0
DKI JAKARTA,Jagung,2001,35.0,64.0
DKI JAKARTA,Jagung,2002,28.0,51.0
DKI JAKARTA,Jagung,2003,30.0,59.0
DKI JAKARTA,Jagung,2004,29.0,55.0
DKI JAKARTA,Jagung,2005,37.0,67.0
DKI JAKARTA,Jagung,2006,36.0,66.0
DKI JAKARTA,Jagung,2007,20.0,39.0
DKI JAKARTA,Jagung,2008,20.0,39.0
DKI JAKARTA,Jagung,2009,16.0,32.0
DKI JAKARTA,Jagung,2010,15.0,31.0
DKI JAKARTA,Jagung,2011,12.0,23.0
DKI JAKARTA,Jagung,2012,3.0,6.0
DKI JAKARTA,Jagung,2013,0.0,0.0
DKI JAKARTA,Jagung,2014,0.0,0.0
DKI JAKARTA,Jagung,2015,0.0,0.0
DKI JAKARTA,Jagung,2020,0.0,0.0
DKI JAKARTA,Jagung,2021,0.0,0.0
DKI JAKARTA,Jagung,2022,0.0,0.0
DKI JAKARTA,Jagung,2023,0.0,0.0
GORONTALO,Jagung,1993,0.0,0.0
GORONTALO,Jagung,1994,0.0,0.0
GORONTALO,Jagung,1995,0.0,0.0
GORONTALO,Jagung,1996,0.0,0.0
GORONTALO,Jagung,1997,0.0,0.0
GORONTALO,Jagung,1998,0.0,0.0
GORONTALO,Jagung,1999,0.0,0.0
GORONTALO,Jagung,2000,0.0,0.0
GORONTALO,Jagung,2001,36610.0,81720.0
GORONTALO,Jagung,2002,45718.0,130251.0
GORONTALO,Jagung,2003,58716.0,183998.0
GORONTALO,Jagung,2004,72529.0,251214.0
GORONTALO,Jagung,2005,107752.0,400046.0
GORONTALO,Jagung,2006,109792.0,416222.0
GORONTALO,Jagung,2007,119027.0,572785.0
GORONTALO,Jagung,2008,156436.0,753598.0
GORONTALO,Jagung,2009,124798.0,569110.0
GORONTALO,Jagung,2010,143833.0,679167.0
GORONTALO,Jagung,2011,135754.0,605782.0
GORONTALO,Jagung,2012,135543.0,644754.0
GORONTALO,Jagung,2013,140423.0,669094.0
GORONTALO,Jagung,2014,148816.0,719780.0
GORONTALO,Jagung,2015,129131.0,643512.0
GORONTALO,Jagung,2020,125415.3,580370.29
GORONTALO,Jagung,2021,138958.14,669890.37
GORONTALO,Jagung,2022,140548.34,692439.15
GORONTALO,Jagung,2023,113572.62,531780.13
INDONESIA,Jagung,1993,2881466.0,6355214.0
INDONESIA,Jagung,1994,3047378.0,6752146.0
INDONESIA,Jagung,1995,3595700.0,8142863.0
INDONESIA,Jagung,1996,3685459.0,9200807.0
INDONESIA,Jagung,1997,3301795.0,8671647.0
INDONESIA,Jagung,1998,3815919.0,10110557.0
INDONESIA,Jagung,1999,3456357.0,9204036.0
INDONESIA,Jagung,2000,3500318.0,9676899.0
INDONESIA,Jagung,2001,3285866.0,9347192.0
INDONESIA,Jagung,2002,3126833.0,9654105.0
INDONESIA,Jagung,2003,3358511.0,10886442.0
