Provinsi;Komoditas;Tahun;Luas Panen;Produksi;KMeans;KMeans Label;Prediksi Luas Panen;Prediksi Produksi
BENGKULU;Jagung;1993;20139;36449;0;Rendah;119947,7675;80200,71758
BENGKULU;Jagung;1994;17963;32303;0;Rendah;118639,5306;72247,85663
BENGKULU;Jagung;1995;28755;52232;0;Rendah;117331,2937;111690,5383
BENGKULU;Jagung;1996;29708;53940;0;Rendah;116023,0569;115173,5698
BENGKULU;Jagung;1997;33232;61081;0;Rendah;114714,82;128053,1111
BENGKULU;Jagung;1998;36119;64062;0;Rendah;113406,5831;138604,5401
BENGKULU;Jagung;1999;29718;55178;0;Rendah;112098,3463;115210,1179
BENGKULU;Jagung;2000;25397;46638;0;Rendah;110790,1094;99417,69499
BENGKULU;Jagung;2001;22576;41557;0;Rendah;109481,8725;89107,48326
BENGKULU;Jagung;2002;28948;52190;0;Rendah;108173,6357;112395,9161
BENGKULU;Jagung;2003;28214;52723;0;Rendah;106865,3988;109713,2875
BENGKULU;Jagung;2004;20049;50012;0;Rendah;105557,1619;79871,78491
BENGKULU;Jagung;2005;31998;84089;0;Rendah;104248,9251;123543,0788
BENGKULU;Jagung;2006;31649;82296;0;Rendah;102940,6882;122267,551
BENGKULU;Jagung;2007;27117;83385;0;Rendah;101632,4513;105703,9638
BENGKULU;Jagung;2008;35661;111826;0;Rendah;100324,2145;136930,6383
BENGKULU;Jagung;2009;28205;93798;0;Rendah;99015,97762;109680,3942
BENGKULU;Jagung;2010;20516;74331;0;Rendah;97707,74075;81578,57997
BENGKULU;Jagung;2011;22215;87362;0;Rendah;96399,50389;87788,09778
BENGKULU;Jagung;2012;22653;103771;0;Rendah;95091,26702;89388,90343
BENGKULU;Jagung;2013;18257;93988;0;Rendah;93783,03016;73322,37001
BENGKULU;Jagung;2014;15643;72756;0;Rendah;92474,79329;63768,70342
BENGKULU;Jagung;2015;10137;52785;0;Rendah;91166,55643;43645,33376
BENGKULU;Jagung;2020;4145,68;23415,58;0;Rendah;84625,3721;21748,21297
BENGKULU;Jagung;2021;5983,25;36934,89;0;Rendah;83317,13524;28464,17744
BENGKULU;Jagung;2022;10416,56;71755,99;0;Rendah;82008,89837;44667,07172
BENGKULU;Jagung;2023;8224,19;53208,64;0;Rendah;80700,66151;36654,38158
DI YOGYAKARTA;Jagung;1993;37726;78701;0;Rendah;119947,7675;144477,8157
DI YOGYAKARTA;Jagung;1994;63139;135356;0;Rendah;118639,5306;237357,4366
DI YOGYAKARTA;Jagung;1995;68897;150204;0;Rendah;117331,2937;258401,8178
DI YOGYAKARTA;Jagung;1996;65773;143394;0;Rendah;116023,0569;246984,1994
DI YOGYAKARTA;Jagung;1997;59508;165438;0;Rendah;114714,82;224086,8309
DI YOGYAKARTA;Jagung;1998;62164;157382;0;Rendah;113406,5831;233793,9994
DI YOGYAKARTA;Jagung;1999;61919;147628;0;Rendah;112098,3463;232898,5716
DI YOGYAKARTA;Jagung;2000;65953;173536;0;Rendah;110790,1094;247642,0647
DI YOGYAKARTA;Jagung;2001;71374;187577;0;Rendah;109481,8725;267454,7757
DI YOGYAKARTA;Jagung;2002;62309;170753;0;Rendah;108173,6357;234323,9465
DI YOGYAKARTA;Jagung;2003;65062;204129;0;Rendah;106865,3988;244385,6313
DI YOGYAKARTA;Jagung;2004;67645;211730;0;Rendah;105557,1619;253825,9989
DI YOGYAKARTA;Jagung;2005;72714;248960;0;Rendah;104248,9251;272352,2177
DI YOGYAKARTA;Jagung;2006;7027;22362;0;Rendah;102940,6882;32278,88268
DI YOGYAKARTA;Jagung;2007;70216;258187;0;Rendah;101632,4513;263222,5087
DI YOGYAKARTA;Jagung;2008;71164;285372;0;Rendah;100324,2145;266687,2662
DI YOGYAKARTA;Jagung;2009;74563;314937;0;Rendah;99015,97762;279109,9566
DI YOGYAKARTA;Jagung;2010;86837;345576;0;Rendah;97707,74075;323969,0629
DI YOGYAKARTA;Jagung;2011;69768;291596;0;Rendah;96399,50389;261585,155
DI YOGYAKARTA;Jagung;2012;73766;336608;0;Rendah;95091,26702;276197,0751
DI YOGYAKARTA;Jagung;2013;70772;289580;0;Rendah;93783,03016;265254,5817
DI YOGYAKARTA;Jagung;2014;67657;312236;0;Rendah;92474,79329;253869,8566
DI YOGYAKARTA;Jagung;2015;65485;299084;0;Rendah;91166,55643;245931,6148
DI YOGYAKARTA;Jagung;2020;31380,87;169430,71;0;Rendah;84625,3721;121287,5875
DI YOGYAKARTA;Jagung;2021;38391,14;197154,61;0;Rendah;83317,13524;146908,7743
DI YOGYAKARTA;Jagung;2022;42974,56;218046,4;0;Rendah;82008,89837;163660,2917
DI YOGYAKARTA;Jagung;2023;43015,18;215817,44;0;Rendah;80700,66151;163808,75
DKI JAKARTA;Jagung;1993;40;52;0;Rendah;119947,7675;6742,743241
DKI JAKARTA;Jagung;1994;15;20;0;Rendah;118639,5306;6651,373055
DKI JAKARTA;Jagung;1995;13;17;0;Rendah;117331,2937;6644,063441
DKI JAKARTA;Jagung;1996;14;27;0;Rendah;116023,0569;6647,718248
DKI JAKARTA;Jagung;1997;11;20;0;Rendah;114714,82;6636,753826
DKI JAKARTA;Jagung;1998;45;78;0;Rendah;113406,5831;6761,017278
DKI JAKARTA;Jagung;1999;34;67;0;Rendah;112098,3463;6720,814396
DKI JAKARTA;Jagung;2000;44;78;0;Rendah;110790,1094;6757,362471
DKI JAKARTA;Jagung;2001;35;64;0;Rendah;109481,8725;6724,469204
DKI JAKARTA;Jagung;2002;28;51;0;Rendah;108173,6357;6698,885552
DKI JAKARTA;Jagung;2003;30;59;0;Rendah;106865,3988;6706,195167
DKI JAKARTA;Jagung;2004;29;55;0;Rendah;105557,1619;6702,540359
DKI JAKARTA;Jagung;2005;37;67;0;Rendah;104248,9251;6731,778819
DKI JAKARTA;Jagung;2006;36;66;0;Rendah;102940,6882;6728,124011
DKI JAKARTA;Jagung;2007;20;39;0;Rendah;101632,4513;6669,647093
DKI JAKARTA;Jagung;2008;20;39;0;Rendah;100324,2145;6669,647093
DKI JAKARTA;Jagung;2009;16;32;0;Rendah;99015,97762;6655,027863
DKI JAKARTA;Jagung;2010;15;31;0;Rendah;97707,74075;6651,373055
DKI JAKARTA;Jagung;2011;12;23;0;Rendah;96399,50389;6640,408633
DKI JAKARTA;Jagung;2012;3;6;0;Rendah;95091,26702;6607,515366
DKI JAKARTA;Jagung;2013;0;0;0;Rendah;93783,03016;6596,550944
DKI JAKARTA;Jagung;2014;0;0;0;Rendah;92474,79329;6596,550944
DKI JAKARTA;Jagung;2015;0;0;0;Rendah;91166,55643;6596,550944
